State Abbreviation,ccode,Lead Id,Leader,Day of Start of Term of Office,Month of Start of Term of Office,Year of Start of Term of Office,Date of Term Of Office,Month of End of Term of Office,Year of End of Term of Office,Date of End of Term of Office,Year of birth,Gender,Military Career,Month of Election or Re-election Result,Year of Election or Re-election Result,Date of Election or Re-election Result
JAM,51,A2.9-508,Patterson,30,3,1992,1992-03-30,3,2006,2006-03-01,1935,Male,False,3,1993,1993-03-01
JAM,51,A3.0-8,Simpson Miller,30,3,2006,2006-03-30,9,2007,2007-09-01,1945,Female,False,0,0,
JAM,51,A3.0-9,Golding,11,9,2007,2007-09-11,10,2011,2011-10-01,1947,Male,False,9,2007,2007-09-01
JAM,51,A3.0-10,Holness,23,10,2011,2011-10-23,1,2012,2012-01-01,1972,Male,False,0,0,
JAM,51,cb-51-1,Simpson Miller,5,1,2012,2012-01-05,3,2016,2016-03-01,1945,Female,False,12,2011,2011-12-01
JAM,51,kb-51-2,Holness,3,3,2016,2016-03-03,0,0,,1972,Male,False,2,2016,2016-02-01
TRI,52,A2.9-511,Williams,31,8,1962,1962-08-31,3,1981,1981-03-01,1911,Male,False,12,1961,1961-12-01
TRI,52,A2.9-514,Chambers,30,3,1981,1981-03-30,12,1986,1986-12-01,1928,Male,False,11,1981,1981-11-01
TRI,52,A2.9-517,Robinson,18,12,1986,1986-12-18,12,1991,1991-12-01,1926,Male,False,12,1986,1986-12-01
TRI,52,A2.9-520,Manning,16,12,1991,1991-12-16,11,1995,1995-11-01,1946,Male,False,12,1991,1991-12-01
TRI,52,A2.9-523,Panday,9,11,1995,1995-11-09,12,2001,2001-12-01,1933,Male,False,11,1995,1995-11-01
TRI,52,A2.9-526,Manning,25,12,2001,2001-12-25,5,2010,2010-05-01,1947,Male,False,12,2001,2001-12-01
TRI,52,A3.0-11,Persad-Bissessar,26,5,2010,2010-05-26,9,2015,2015-09-01,1952,Female,False,5,2010,2010-05-01
TRI,52,cb-52-1,Rowley,9,9,2015,2015-09-09,0,0,,1949,Male,False,9,2015,2015-09-01
BAR,53,A2.9-529,Barrow,18,11,1966,1966-11-18,9,1976,1976-09-01,1920,Male,False,11,1966,1966-11-01
BAR,53,A2.9-532,Adams,8,10,1976,1976-10-08,3,1985,1985-03-01,1931,Male,False,9,1976,1976-09-01
BAR,53,A2.9-535,St. John,11,3,1985,1985-03-11,5,1986,1986-05-01,1931,Male,False,0,0,
BAR,53,A2.9-538,Barrow,29,5,1986,1986-05-29,6,1987,1987-06-01,1920,Male,False,5,1986,1986-05-01
BAR,53,A2.9-541,Sandiford,1,6,1987,1987-06-01,9,1994,1994-09-01,1937,Male,False,1,1991,1991-01-01
BAR,53,A2.9-544,Arthur,7,9,1994,1994-09-07,1,2008,2008-01-01,1949,Male,False,9,1994,1994-09-01
BAR,53,A3.0-12,Thompson,16,1,2008,2008-01-16,10,2010,2010-10-01,1961,Male,False,1,2008,2008-01-01
BAR,53,A3.0-13,Stuart,23,10,2010,2010-10-23,5,2018,2018-05-01,1951,Male,False,2,2013,2013-02-01
BAR,53,KS-53-1,Mia Mottley,25,5,2018,2018-05-25,0,0,,1965,Female,False,5,2018,2018-05-01
DMA,54,cb-54-1,Patrick John,3,11,1978,1978-11-03,6,1979,1979-06-01,1938,Male,False,3,1975,1975-03-01
DMA,54,cb-54-2,Oliver Seraphin,25,6,1979,1979-06-25,7,1980,1980-07-01,1943,Male,False,0,0,
DMA,54,cb-54-3,Eugenia Charles,21,7,1980,1980-07-21,6,1995,1995-06-01,1919,Female,False,7,1980,1980-07-01
DMA,54,cb-54-4,Edison James,14,6,1995,1995-06-14,2,2000,2000-02-01,1943,Male,False,6,1995,1995-06-01
DMA,54,cb-54-5,Rosie Douglas,3,2,2000,2000-02-03,10,2000,2000-10-01,1941,Male,False,2,2000,2000-02-01
DMA,54,cb-54-6,Pierre Charles,3,10,2000,2000-10-03,1,2004,2004-01-01,1954,Male,False,0,0,
DMA,54,cb-54-7,Roosevelt Skerrit,8,1,2004,2004-01-08,0,0,,1972,Male,False,5,2005,2005-05-01
GRN,55,cb-55-1,Eric Gairy,7,2,1974,1974-02-07,3,1979,1979-03-01,1922,Male,False,2,1972,1972-02-01
GRN,55,cb-55-2,Maurice Bishop,13,3,1979,1979-03-13,10,1983,1983-10-01,1943,Male,False,0,0,
GRN,55,cb-55-3,Hudson Austin,19,10,1983,1983-10-19,10,1983,1983-10-01,1938,Male,True,0,0,
GRN,55,cb-55-3.1,Paul Scoon,26,10,1983,1983-10-26,12,1983,1983-12-01,1935,Male,False,0,0,
GRN,55,cb-55-4,Nicholas Brathwaite,9,12,1983,1983-12-09,12,1984,1984-12-01,1925,Male,False,0,0,
GRN,55,cb-55-5,Blaize,4,12,1984,1984-12-04,12,1989,1989-12-01,1918,Male,False,12,1984,1984-12-01
GRN,55,cb-55-6,Jones,20,12,1989,1989-12-20,3,1990,1990-03-01,1924,Male,False,0,0,
GRN,55,cb-55-7,Brathwaite,16,3,1990,1990-03-16,2,1995,1995-02-01,1925,Male,False,3,1990,1990-03-01
