State Abbreviation,ccode,Lead Id,Leader,Day of Start of Term of Office,Month of Start of Term of Office,Year of Start of Term of Office,Date of Term Of Office,Month of End of Term of Office,Year of End of Term of Office,Date of End of Term of Office,Year of birth,Gender,Military Career,Month of Election or Re-election Result,Year of Election or Re-election Result,Date of Election or Re-election Result
LIT,368,A2.9-5707,Paksas,26,2,2003,2003-02-26,4,2004,2004-04-01,1956,Male,False,1,2003,2003-01-01
LIT,368,A2.9-5710,Paulauskas,6,4,2004,2004-04-06,7,2004,2004-07-01,1953,Male,False,0,0,
LIT,368,A2.9-5713,Adamkus,12,7,2004,2004-07-12,7,2009,2009-07-01,1926,Male,False,6,2004,2004-06-01
LIT,368,A3.0-107,Grybauskaite,12,7,2009,2009-07-12,7,2019,2019-07-01,1956,Female,False,5,2009,2009-05-01
LIT,368,ctb-368-1,Nauseda,12,7,2019,2019-07-12,0,0,,1964,Male,False,5,2019,2019-05-01
UKR,369,A2.9-5716,Kravchuk,18,7,1990,1990-07-18,7,1994,1994-07-01,1934,Male,False,3,1990,1990-03-01
UKR,369,A2.9-5719,Kuchma,19,7,1994,1994-07-19,1,2005,2005-01-01,1938,Male,False,7,1994,1994-07-01
UKR,369,A3.0-108,Yushchenko,23,1,2005,2005-01-23,2,2010,2010-02-01,1954,Male,False,12,2004,2004-12-01
UKR,369,A3.0-109,Yanukovych,25,2,2010,2010-02-25,2,2014,2014-02-01,1950,Male,False,2,2010,2010-02-01
UKR,369,cb-369-1,Turchynov,23,2,2014,2014-02-23,6,2014,2014-06-01,1964,Male,False,0,0,
UKR,369,cb-369-2,Poroshenko,7,6,2014,2014-06-07,5,2019,2019-05-01,1965,Male,False,5,2014,2014-05-01
UKR,369,ctb-369-3,Zelensky,20,5,2019,2019-05-20,0,0,,1978,Male,False,4,2019,2019-04-01
BLR,370,A2.9-5722,Shushkevich,18,9,1991,1991-09-18,1,1994,1994-01-01,1934,Male,False,0,0,
BLR,370,A2.9-5728,Hryb,28,1,1994,1994-01-28,7,1994,1994-07-01,1938,Male,False,0,0,
BLR,370,A2.9-5731,Lukashenko,20,7,1994,1994-07-20,0,0,,1954,Male,True,7,1994,1994-07-01
ARM,371,A2.9-5734,Ter-Petrosyan,16,10,1991,1991-10-16,2,1998,1998-02-01,1945,Male,False,10,1991,1991-10-01
ARM,371,A2.9-5737,Kocharian,4,3,1998,1998-03-04,4,2008,2008-04-01,1954,Male,False,3,1998,1998-03-01
ARM,371,A3.0-110,Sargsyan,9,4,2008,2008-04-09,4,2018,2018-04-01,1954,Male,True,2,2008,2008-02-01
ARM,371,KS-371-1,Karapetyan,23,4,2018,2018-04-23,5,2018,2018-05-01,1964,Male,False,4,2018,2018-04-01
ARM,371,KS-371-2,Pashinyan,8,5,2018,2018-05-08,0,0,,1975,Male,False,5,2018,2018-05-01
GRG,372,A2.9-5740,Gamsakhurdia,12,4,1991,1991-04-12,1,1992,1992-01-01,1939,Male,False,10,1990,1990-10-01
GRG,372,A2.9-5743,Ioseliani,6,1,1992,1992-01-06,3,1992,1992-03-01,1926,Male,False,0,0,
GRG,372,A2.9-5746,Shevardnadze,10,3,1992,1992-03-10,11,2003,2003-11-01,1928,Male,False,10,1992,1992-10-01
GRG,372,A2.9-5749,Burdjanadze,23,11,2003,2003-11-23,1,2004,2004-01-01,1964,Female,False,0,0,
GRG,372,A2.9-5752,Saakashvili,25,1,2004,2004-01-25,11,2007,2007-11-01,1967,Male,False,1,2004,2004-01-01
GRG,372,A3.0-111,Burdzhanadze,25,11,2007,2007-11-25,1,2008,2008-01-01,1964,Female,False,0,0,
GRG,372,A3.0-112,Saakashvili,20,1,2008,2008-01-20,11,2013,2013-11-01,1967,Male,False,0,0,
GRG,372,cb-372-1,Margvelashvili,17,11,2013,2013-11-17,12,2018,2018-12-01,1969,Male,False,10,2013,2013-10-01
GRG,372,ctb-372-1,Bakhtadze,16,12,2018,2018-12-16,9,2019,2019-09-01,1952,Male,False,0,0,
GRG,372,ctb-372-2,Gakharia,8,9,2019,2019-09-08,2,2021,2021-02-01,1975,Male,False,0,0,
GRG,372,ctb-372-3,Garibashvili,22,2,2021,2021-02-22,0,0,,1982,Male,False,0,0,
AZE,373,A2.9-5755,Mutalibov,8,9,1991,1991-09-08,3,1992,1992-03-01,1938,Male,False,9,1991,1991-09-01
AZE,373,A2.9-5758,Mamedov,6,3,1992,1992-03-06,5,1992,1992-05-01,1941,Male,False,0,0,
AZE,373,A2.9-5764,Gambarov,19,5,1992,1992-05-19,6,1992,1992-06-01,1957,Male,False,0,0,
AZE,373,A2.9-5767,Abulfaz Elchibey,16,6,1992,1992-06-16,6,1993,1993-06-01,1938,Male,False,6,1992,1992-06-01
AZE,373,A2.9-5770,H. Aliyev,24,6,1993,1993-06-24,10,2003,2003-10-01,1923,Male,False,10,1993,1993-10-01
AZE,373,A2.9-5773,Ilhma Aliyev,15,10,2003,2003-10-15,0,0,,1961,Male,False,10,2003,2003-10-01
FIN,375,A2.9-5800,Paasikivi,9,3,1946,1946-03-09,2,1956,1956-02-01,1879,Male,False,3,1946,1946-03-01
FIN,375,A2.9-5803,Kekkonen,1,3,1956,1956-03-01,9,1981,1981-09-01,1900,Male,False,1,1956,1956-01-01
FIN,375,A2.9-5806,Koivisto,11,9,1981,1981-09-11,3,1994,1994-03-01,1923,Male,False,1,1982,1982-01-01
FIN,375,A2.9-5809,Marthi Ahtisaari,1,3,1994,1994-03-01,3,2000,2000-03-01,1937,Male,False,2,1994,1994-02-01
FIN,375,cb-375-1,Lipponen,1,3,2000,2000-03-01,4,2003,2003-04-01,1941,Male,False,2,2000,2000-02-01
FIN,375,cb-375-2,Jaatteenmaki,17,4,2003,2003-04-17,6,2003,2003-06-01,1955,Female,False,3,2003,2003-03-01
FIN,375,cb-375-3,Vanhanen,24,6,2003,2003-06-24,6,2010,2010-06-01,1955,Male,False,4,2007,2007-04-01
FIN,375,cb-375-4,Kiviniemi,22,6,2010,2010-06-22,6,2011,2011-06-01,1968,Female,False,0,0,
FIN,375,cb-375-5,Katainen,22,6,2011,2011-06-22,6,2014,2014-06-01,1971,Male,False,4,2011,2011-04-01
FIN,375,cb-375-6,Stubb,24,6,2014,2014-06-24,5,2015,2015-05-01,1968,Male,False,0,0,
FIN,375,cb-375-7,Sipila,29,5,2015,2015-05-29,6,2019,2019-06-01,1961,Male,False,4,2015,2015-04-01
FIN,375,ctb-375-1,Antti Rinne,6,6,2019,2019-06-06,12,2019,2019-12-01,1962,Male,False,4,2019,2019-04-01
FIN,375,ctb-375-2,Sanna Marin,10,12,2019,2019-12-10,0,0,,1985,Female,False,0,0,
SWD,380,A2.9-5911,Erlander,10,10,1946,1946-10-10,10,1969,1969-10-01,1901,Male,False,9,1948,1948-09-01
SWD,380,A2.9-5914,Palme,14,10,1969,1969-10-14,9,1976,1976-09-01,1927,Male,False,9,1970,1970-09-01
SWD,380,A2.9-5917,Falldin,4,10,1976,1976-10-04,10,1978,1978-10-01,1926,Male,False,9,1976,1976-09-01
SWD,380,A2.9-5920,Ullsten,18,10,1978,1978-10-18,10,1979,1979-10-01,1931,Male,False,0,0,
SWD,380,A2.9-5923,Falldin,9,10,1979,1979-10-09,10,1982,1982-10-01,1926,Male,False,9,1979,1979-09-01
SWD,380,A2.9-5926,Palme,7,10,1982,1982-10-07,2,1986,1986-02-01,1927,Male,False,9,1982,1982-09-01
SWD,380,A2.9-5929,Carlsson,12,3,1986,1986-03-12,10,1991,1991-10-01,1934,Male,False,9,1988,1988-09-01
SWD,380,A2.9-5932,Bildt,30,10,1991,1991-10-30,10,1994,1994-10-01,1949,Male,False,9,1991,1991-09-01
SWD,380,A2.9-5935,Carlsson,7,10,1994,1994-10-07,3,1996,1996-03-01,1934,Male,False,9,1994,1994-09-01
SWD,380,A2.9-5938,Persson,21,3,1996,1996-03-21,10,2006,2006-10-01,1949,Male,False,9,1998,1998-09-01
SWD,380,A3.0-113,Reinfeldt,6,10,2006,2006-10-06,10,2014,2014-10-01,1965,Male,False,9,2006,2006-09-01
SWD,380,cb-380-1,Lofven,3,10,2014,2014-10-03,0,0,,1957,Male,False,9,2014,2014-09-01
NOR,385,A2.9-6004,Gerhardsen,26,6,1945,1945-06-26,11,1951,1951-11-01,1897,Male,False,9,1945,1945-09-01
NOR,385,A2.9-6007,Torp,19,11,1951,1951-11-19,1,1955,1955-01-01,1893,Male,False,10,1953,1953-10-01
NOR,385,A2.9-6010,Gerhardsen,22,1,1955,1955-01-22,8,1963,1963-08-01,1897,Male,False,9,1957,1957-09-01
NOR,385,A2.9-6013,Lyng,27,8,1963,1963-08-27,9,1963,1963-09-01,1905,Male,False,0,0,
NOR,385,A2.9-6016,Gerhardsen,25,9,1963,1963-09-25,10,1965,1965-10-01,1897,Male,False,9,1957,1957-09-01
NOR,385,A2.9-6019,Borten,12,10,1965,1965-10-12,3,1971,1971-03-01,1913,Male,False,9,1965,1965-09-01
NOR,385,A2.9-6022,Bratteli,16,3,1971,1971-03-16,10,1972,1972-10-01,1910,Male,False,0,0,
NOR,385,A2.9-6025,Korvald,17,10,1972,1972-10-17,10,1973,1973-10-01,1916,Male,False,0,0,
NOR,385,A2.9-6028,Bratteli,15,10,1973,1973-10-15,1,1976,1976-01-01,1910,Male,False,9,1973,1973-09-01
NOR,385,A2.9-6031,Nordli,9,1,1976,1976-01-09,2,1981,1981-02-01,1927,Male,False,9,1977,1977-09-01
NOR,385,A2.9-6034,Brundtland,4,2,1981,1981-02-04,10,1981,1981-10-01,1939,Female,False,0,0,
NOR,385,A2.9-6037,Willoch,14,10,1981,1981-10-14,5,1986,1986-05-01,1928,Male,False,9,1981,1981-09-01
NOR,385,A2.9-6040,Brundtland,9,5,1986,1986-05-09,10,1989,1989-10-01,1939,Female,False,0,0,
NOR,385,A2.9-6043,Syse,16,10,1989,1989-10-16,11,1990,1990-11-01,1930,Male,False,9,1989,1989-09-01
NOR,385,A2.9-6046,Brundtland,3,11,1990,1990-11-03,10,1996,1996-10-01,1939,Female,False,9,1993,1993-09-01
NOR,385,A2.9-6049,Jagland,25,10,1996,1996-10-25,10,1997,1997-10-01,1950,Male,False,0,0,
NOR,385,A2.9-6052,Bondevik,17,10,1997,1997-10-17,8,1998,1998-08-01,1947,Male,False,9,1997,1997-09-01
NOR,385,A2.9-6055,Lahnstein,30,8,1998,1998-08-30,9,1998,1998-09-01,1949,Female,False,0,0,
NOR,385,A2.9-6058,Bondevik,24,9,1998,1998-09-24,3,2000,2000-03-01,1947,Male,False,9,1997,1997-09-01
NOR,385,A2.9-6061,Stoltenberg,17,3,2000,2000-03-17,10,2001,2001-10-01,1959,Male,False,0,0,
NOR,385,A2.9-6064,Bondevik,19,10,2001,2001-10-19,10,2005,2005-10-01,1947,Male,False,9,2001,2001-09-01
NOR,385,A3.0-114,Stoltenberg,17,10,2005,2005-10-17,10,2013,2013-10-01,1959,Male,False,9,2005,2005-09-01
NOR,385,cb-385-1,Solberg,16,10,2013,2013-10-16,0,0,,1961,Female,False,9,2013,2013-09-01
DEN,390,A2.9-6133,Hedtoft,12,11,1947,1947-11-12,10,1950,1950-10-01,1903,Male,False,11,1947,1947-11-01
DEN,390,A2.9-6136,Eriksen,28,10,1950,1950-10-28,9,1953,1953-09-01,1902,Male,False,9,1950,1950-09-01
DEN,390,A2.9-6139,Hedtoft,30,9,1953,1953-09-30,1,1955,1955-01-01,1903,Male,False,9,1953,1953-09-01
DEN,390,A2.9-6142,Hansen,1,2,1955,1955-02-01,2,1960,1960-02-01,1906,Male,False,5,1957,1957-05-01
DEN,390,A2.9-6145,Kampmann,19,2,1960,1960-02-19,9,1962,1962-09-01,1910,Male,False,11,1960,1960-11-01
DEN,390,A2.9-6148,Krag,3,9,1962,1962-09-03,2,1968,1968-02-01,1914,Male,False,9,1964,1964-09-01
DEN,390,A2.9-6151,Baunsgaard,18,2,1968,1968-02-18,10,1971,1971-10-01,1920,Male,False,1,1968,1968-01-01
DEN,390,A2.9-6154,Krag,11,10,1971,1971-10-11,10,1972,1972-10-01,1914,Male,False,9,1971,1971-09-01
DEN,390,A2.9-6157,Jorgensen,5,10,1972,1972-10-05,12,1973,1973-12-01,1923,Male,False,0,0,
DEN,390,A2.9-6160,Hartling,19,12,1973,1973-12-19,1,1975,1975-01-01,1914,Male,False,12,1973,1973-12-01
DEN,390,A2.9-6163,Jorgensen,13,2,1975,1975-02-13,9,1982,1982-09-01,1923,Male,False,1,1975,1975-01-01
DEN,390,A2.9-6166,Schluter,10,9,1982,1982-09-10,1,1993,1993-01-01,1929,Male,False,1,1984,1984-01-01
DEN,390,A2.9-6169,Nyrup Rasmussen,25,1,1993,1993-01-25,11,2001,2001-11-01,1943,Male,False,9,1994,1994-09-01
DEN,390,A2.9-6172,Fogh Rasmussen,27,11,2001,2001-11-27,4,2009,2009-04-01,1953,Male,False,11,2001,2001-11-01
DEN,390,A3.0-115,Lokke Rasmussen,5,4,2009,2009-04-05,10,2011,2011-10-01,1964,Male,False,0,0,
DEN,390,A3.0-116,Thorning-Schmidt,3,10,2011,2011-10-03,6,2015,2015-06-01,1966,Female,False,9,2011,2011-09-01
DEN,390,cb-390-1,Rasmussen,28,6,2015,2015-06-28,6,2019,2019-06-01,1964,Male,False,6,2015,2015-06-01
DEN,390,ctb-390-1,Mette Frederiksen,27,6,2019,2019-06-27,0,0,,1977,Female,False,6,2019,2019-06-01
ICE,395,A2.9-6184,Thors,6,12,1949,1949-12-06,3,1950,1950-03-01,1892,Male,False,10,1949,1949-10-01
ICE,395,A2.9-6187,Steinthorsson,14,3,1950,1950-03-14,9,1953,1953-09-01,1893,Male,False,0,0,
ICE,395,A2.9-6190,Thors,13,9,1953,1953-09-13,7,1956,1956-07-01,1892,Male,False,6,1953,1953-06-01
ICE,395,A2.9-6193,Jonasson,21,7,1956,1956-07-21,12,1958,1958-12-01,1896,Male,False,6,1956,1956-06-01
ICE,395,A2.9-6196,Jonsson,23,12,1958,1958-12-23,11,1959,1959-11-01,1902,Male,False,0,0,
ICE,395,A2.9-6199,Thors,20,11,1959,1959-11-20,9,1961,1961-09-01,1892,Male,False,10,1959,1959-10-01
ICE,395,A2.9-6199,Benediktsson,8,9,1961,1961-09-08,12,1961,1961-12-01,1908,Male,False,0,0,
ICE,395,A2.9-6199,Thors,1,1,1962,1962-01-01,11,1963,1963-11-01,1892,Male,False,10,1959,1959-10-01
ICE,395,A2.9-6202,Benediktsson,14,11,1963,1963-11-14,7,1970,1970-07-01,1908,Male,False,6,1963,1963-06-01
ICE,395,A2.9-6205,Hafstein,10,7,1970,1970-07-10,7,1971,1971-07-01,1915,Male,False,0,0,
ICE,395,A2.9-6208,Johannesson,14,7,1971,1971-07-14,8,1974,1974-08-01,1913,Male,False,6,1971,1971-06-01
ICE,395,A2.9-6211,Hallgrimsson,29,8,1974,1974-08-29,8,1978,1978-08-01,1925,Male,False,6,1974,1974-06-01
ICE,395,A2.9-6214,Johannesson,31,8,1978,1978-08-31,10,1979,1979-10-01,1913,Male,False,6,1978,1978-06-01
ICE,395,A2.9-6217,Groendal,15,10,1979,1979-10-15,2,1980,1980-02-01,1924,Male,False,0,0,
ICE,395,A2.9-6220,Thoroddsen,8,2,1980,1980-02-08,5,1983,1983-05-01,1910,Male,False,12,1979,1979-12-01
ICE,395,A2.9-6223,Hermannsson,26,5,1983,1983-05-26,7,1987,1987-07-01,1928,Male,False,4,1983,1983-04-01
ICE,395,A2.9-6226,Palsson,8,7,1987,1987-07-08,9,1988,1988-09-01,1947,Male,False,4,1987,1987-04-01
ICE,395,A2.9-6229,Hermannsson,28,9,1988,1988-09-28,4,1991,1991-04-01,1928,Male,False,0,0,
ICE,395,A2.9-6232,Oddsson,30,4,1991,1991-04-30,9,2004,2004-09-01,1948,Male,False,4,1991,1991-04-01
ICE,395,A2.9-6235,Halldor Asgrimsson,15,9,2004,2004-09-15,6,2006,2006-06-01,1947,Male,False,0,0,
ICE,395,A3.0-117,Hilmar Haarde,15,6,2006,2006-06-15,2,2009,2009-02-01,1951,Male,False,5,2007,2007-05-01
ICE,395,A3.0-118,Sigurdardottir,1,2,2009,2009-02-01,5,2013,2013-05-01,1942,Female,False,4,2009,2009-04-01
ICE,395,cb-395-1,Gunnlaugsson,23,5,2013,2013-05-23,4,2016,2016-04-01,1975,Male,False,4,2013,2013-04-01
ICE,395,cb-395-2,Sigurdur Ingi Jóhannsson,7,4,2016,2016-04-07,1,2017,2017-01-01,1962,Male,False,0,0,
ICE,395,se-395-3,Bjarni Benediktsson,11,1,2017,2017-01-11,11,2017,2017-11-01,1970,Male,False,10,2016,2016-10-01
ICE,395,CB-395-4,Katrín Jakobsdóttir,30,11,2017,2017-11-30,0,0,,1976,Female,False,10,2017,2017-10-01
CAP,402,A2.9-6238,Pires,8,7,1975,1975-07-08,4,1991,1991-04-01,1934,Male,False,0,0,
CAP,402,A2.9-6241,Veiga,4,4,1991,1991-04-04,7,2000,2000-07-01,1949,Male,False,1,1991,1991-01-01
CAP,402,A2.9-6244,do Rosario,29,7,2000,2000-07-29,2,2001,2001-02-01,1950,Male,False,0,0,
CAP,402,A2.9-6247,Neves,1,2,2001,2001-02-01,4,2016,2016-04-01,1960,Male,False,1,2001,2001-01-01
CAP,402,nm-402-1,Correia e Silva,22,4,2016,2016-04-22,0,0,,1962,Male,False,2,2016,2016-02-01
STP,403,cb-403-1,da Costa,15,6,1975,1975-06-15,3,1991,1991-03-01,1937,Male,False,0,0,
STP,403,cb-403-2,d'Alva,4,3,1991,1991-03-04,4,1991,1991-04-01,1935,Male,False,0,0,
STP,403,cb-403-3,Trovoada,3,4,1991,1991-04-03,9,2001,2001-09-01,1936,Male,False,3,1991,1991-03-01
STP,403,cb-403-4,Menezes,3,9,2001,2001-09-03,7,2003,2003-07-01,1942,Male,False,7,2001,2001-07-01
STP,403,cb-403-5,Pereira,16,7,2003,2003-07-16,7,2003,2003-07-01,1963,Male,True,0,0,
STP,403,cb-403-6,Menezes,23,7,2003,2003-07-23,9,2011,2011-09-01,1942,Male,False,7,2001,2001-07-01
STP,403,cb-403-7,da Costa,3,9,2011,2011-09-03,9,2016,2016-09-01,1937,Male,False,7,2011,2011-07-01
STP,403,jb-403-1,Carvalho,3,9,2016,2016-09-03,0,0,,1942,Male,False,8,2016,2016-08-01
GNB,404,A2.9-6250,Cabral,10,9,1974,1974-09-10,11,1980,1980-11-01,1931,Male,False,0,0,
GNB,404,A2.9-6253,Vieira,14,11,1980,1980-11-14,5,1999,1999-05-01,1939,Male,True,8,1994,1994-08-01
GNB,404,A2.9-6256,Mane,7,5,1999,1999-05-07,5,1999,1999-05-01,1940,Male,True,0,0,
GNB,404,A2.9-6259,Sanha,14,5,1999,1999-05-14,2,2000,2000-02-01,1947,Male,False,0,0,
GNB,404,A2.9-6262,Kumba Iala,18,2,2000,2000-02-18,9,2003,2003-09-01,1953,Male,False,1,2000,2000-01-01
GNB,404,A2.9-6265,Correia Seabra,14,9,2003,2003-09-14,9,2003,2003-09-01,1947,Male,True,0,0,
GNB,404,A2.9-6268,Henrique Pereira Rosa,28,9,2003,2003-09-28,10,2005,2005-10-01,1946,Male,False,0,0,
GNB,404,A3.0-119,Vieira,1,10,2005,2005-10-01,3,2009,2009-03-01,1939,Male,False,7,2005,2005-07-01
GNB,404,A3.0-120,Raimundo Perreira,2,3,2009,2009-03-02,9,2009,2009-09-01,1956,Male,False,0,0,
GNB,404,A3.0-121,Sanha,8,9,2009,2009-09-08,1,2012,2012-01-01,1947,Male,False,7,2009,2009-07-01
GNB,404,cb-404-1,Pereira,9,1,2012,2012-01-09,4,2012,2012-04-01,1956,Male,False,0,0,
GNB,404,cb-404-2,Kuruma,12,4,2012,2012-04-12,5,2012,2012-05-01,1947,Male,True,0,0,
GNB,404,cb-404-3,Nhamadjo,11,5,2012,2012-05-11,6,2014,2014-06-01,1958,Male,False,0,0,
GNB,404,cb-404-4,Vaz,23,6,2014,2014-06-23,2,2020,2020-02-01,1957,Male,False,5,2014,2014-05-01
GNB,404,ctb-404-1,Embalo,27,2,2020,2020-02-27,0,0,,1972,Male,True,12,2019,2019-12-01
EQG,411,A2.9-6271,Bonifacio Ondo Edu,15,12,1963,1963-12-15,10,1968,1968-10-01,1922,Male,False,0,0,
EQG,411,A2.9-6274,Macias Nguema,12,10,1968,1968-10-12,8,1979,1979-08-01,1924,Male,False,9,1968,1968-09-01
EQG,411,A2.9-6277,Nguema Mbasogo,3,8,1979,1979-08-03,0,0,,1942,Male,True,8,1982,1982-08-01
GAM,420,A2.9-6280,Jawara,18,2,1965,1965-02-18,7,1994,1994-07-01,1924,Male,False,5,1982,1982-05-01
GAM,420,A2.9-6283,Jammeh,22,7,1994,1994-07-22,1,2017,2017-01-01,1965,Male,True,9,1996,1996-09-01
GAM,420,se-420-1,Barrow,18,1,2017,2017-01-18,0,0,,1965,Male,False,12,2016,2016-12-01
MLI,432,A2.9-6286,Keita,22,9,1960,1960-09-22,11,1968,1968-11-01,1915,Male,False,0,0,
MLI,432,A2.9-6289,Traore,19,11,1968,1968-11-19,3,1991,1991-03-01,1936,Male,True,6,1979,1979-06-01
MLI,432,A2.9-6292,Amadou Toure,26,3,1991,1991-03-26,6,1992,1992-06-01,1948,Male,True,0,0,
MLI,432,A2.9-6295,Konare,6,6,1992,1992-06-06,6,2002,2002-06-01,1946,Male,False,4,1992,1992-04-01
MLI,432,A2.9-6298,Amadou Toure,9,6,2002,2002-06-09,3,2012,2012-03-01,1948,Male,True,5,2002,2002-05-01
MLI,432,cb-432-1,Sanogo,22,3,2012,2012-03-22,4,2012,2012-04-01,1972,Male,True,0,0,
MLI,432,cb-432-2,Traore,12,4,2012,2012-04-12,9,2013,2013-09-01,1942,Male,False,0,0,
MLI,432,cb-432-3,Keita,4,9,2013,2013-09-04,8,2020,2020-08-01,1945,Male,False,8,2013,2013-08-01
MLI,432,ctb-432-1,Assimi Goita,19,8,2020,2020-08-19,9,2020,2020-09-01,1983,Male,True,0,0,
MLI,432,ctb-432-2,Ba N'Daou,25,9,2020,2020-09-25,5,2021,2021-05-01,1950,Male,True,0,0,
MLI,432,mf-432-1,Assimi Goita,24,5,2021,2021-05-24,0,0,,1983,Male,True,0,0,
SEN,433,A2.9-6301,Senghor,20,8,1960,1960-08-20,12,1980,1980-12-01,1906,Male,False,12,1963,1963-12-01
SEN,433,A2.9-6304,Diouf,1,1,1981,1981-01-01,4,2000,2000-04-01,1935,Male,False,2,1983,1983-02-01
SEN,433,A2.9-6307,Abdoulaye Wade,2,4,2000,2000-04-02,4,2012,2012-04-01,1926,Male,False,2,2000,2000-02-01
SEN,433,cb-433-1,Macky Sall,2,4,2012,2012-04-02,0,0,,1961,Male,False,2,2012,2012-02-01
BEN,434,A2.9-6310,Maga,1,1,1960,1960-01-01,10,1963,1963-10-01,1916,Male,False,0,0,
BEN,434,A2.9-6313,Soglo,28,10,1963,1963-10-28,1,1964,1964-01-01,1912,Male,True,0,0,
BEN,434,A2.9-6316,Apithy,19,1,1964,1964-01-19,11,1965,1965-11-01,1913,Male,False,0,0,
BEN,434,A2.9-6319,Congacou,29,11,1965,1965-11-29,12,1965,1965-12-01,1913,Male,False,0,0,
BEN,434,A2.9-6322,Soglo,22,12,1965,1965-12-22,12,1967,1967-12-01,1912,Male,True,0,0,
BEN,434,A2.9-6325,Alley,17,12,1967,1967-12-17,8,1968,1968-08-01,1930,Male,True,0,0,
BEN,434,A2.9-6328,Zinsou,1,8,1968,1968-08-01,12,1969,1969-12-01,1918,Male,False,7,1968,1968-07-01
BEN,434,A2.9-6334,Paul-Emile de Souza,13,12,1969,1969-12-13,5,1970,1970-05-01,1930,Male,True,0,0,
BEN,434,A2.9-6337,Maga,7,5,1970,1970-05-07,4,1972,1972-04-01,1916,Male,False,0,0,
BEN,434,A2.9-6340,Ahomadegbe,7,4,1972,1972-04-07,10,1972,1972-10-01,1917,Male,False,0,0,
BEN,434,A2.9-6343,Kerekou,27,10,1972,1972-10-27,4,1991,1991-04-01,1933,Male,True,0,0,
BEN,434,A2.9-6346,"Soglo, N",4,4,1991,1991-04-04,4,1996,1996-04-01,1934,Male,False,3,1991,1991-03-01
BEN,434,A2.9-6349,Kerekou,4,4,1996,1996-04-04,4,2006,2006-04-01,1933,Male,True,3,2001,2001-03-01
BEN,434,A3.0-122,Yayi Boni,6,4,2006,2006-04-06,4,2016,2016-04-01,1951,Male,False,3,2006,2006-03-01
BEN,434,nm-434-1,Talon,5,4,2016,2016-04-05,0,0,,1958,Male,False,3,2016,2016-03-01
MAA,435,A2.9-6352,Ould Daddah,28,11,1960,1960-11-28,7,1978,1978-07-01,1924,Male,False,8,1961,1961-08-01
MAA,435,A2.9-6355,Ould Mohamed Salek,10,7,1978,1978-07-10,4,1979,1979-04-01,1936,Male,True,0,0,
MAA,435,A2.9-6358,Ould Bouceif,6,4,1979,1979-04-06,5,1979,1979-05-01,1933,Male,True,0,0,
MAA,435,cb-435-001,Ould Sidi,27,5,1979,1979-05-27,6,1979,1979-06-01,1938,Male,True,0,0,
MAA,435,A2.9-6364,Ould Ahmed Louly,3,6,1979,1979-06-03,1,1980,1980-01-01,1943,Male,True,0,0,
MAA,435,A2.9-6367,Ould Haidalla,4,1,1980,1980-01-04,12,1984,1984-12-01,1940,Male,True,0,0,
MAA,435,A2.9-6370,Sidi Ahmed Taya,12,12,1984,1984-12-12,8,2005,2005-08-01,1941,Male,True,1,1992,1992-01-01
MAA,435,A3.0-123,Ould Mohamed Vall,3,8,2005,2005-08-03,4,2007,2007-04-01,1953,Male,False,6,2006,2006-06-01
MAA,435,A3.0-124,Ould Cheikh Abdellahi,19,4,2007,2007-04-19,8,2008,2008-08-01,1938,Male,False,3,2007,2007-03-01
MAA,435,A3.0-125,Ould Abdel Aziz,6,8,2008,2008-08-06,4,2009,2009-04-01,1956,Male,True,0,0,
MAA,435,A3.0-126,dit M'Bare,15,4,2009,2009-04-15,8,2009,2009-08-01,1946,Male,False,0,0,
MAA,435,A3.0-127,Ould Abdel Aziz,5,8,2009,2009-08-05,8,2019,2019-08-01,1956,Male,True,7,2009,2009-07-01
MAA,435,ctb-435-1,Ould Ghazouani,1,8,2019,2019-08-01,0,0,,1956,Male,True,6,2019,2019-06-01
NIR,436,A2.9-6373,Diori,3,10,1960,1960-10-03,4,1974,1974-04-01,1916,Male,False,9,1965,1965-09-01
NIR,436,A2.9-6376,Kountche,17,4,1974,1974-04-17,11,1987,1987-11-01,1931,Male,True,0,0,
NIR,436,A2.9-6379,Seibou,10,11,1987,1987-11-10,4,1993,1993-04-01,1940,Male,True,12,1989,1989-12-01
NIR,436,A2.9-6382,Ousmane,16,4,1993,1993-04-16,1,1996,1996-01-01,1950,Male,False,3,1993,1993-03-01
NIR,436,A2.9-6385,Mainassara,27,1,1996,1996-01-27,4,1999,1999-04-01,1949,Male,True,7,1996,1996-07-01
NIR,436,A2.9-6388,Wanke,11,4,1999,1999-04-11,12,1999,1999-12-01,1954,Male,True,0,0,
NIR,436,A2.9-6391,Mamadou,22,12,1999,1999-12-22,2,2010,2010-02-01,1938,Male,True,11,1999,1999-11-01
NIR,436,A3.0-128,Djibo,8,2,2010,2010-02-08,4,2011,2011-04-01,1965,Male,True,0,0,
NIR,436,A3.0-129,Issoufou,7,4,2011,2011-04-07,4,2021,2021-04-01,1952,Male,False,3,2011,2011-03-01
NIR,436,ctb-436-1,Bazoum,2,4,2021,2021-04-02,0,0,,1960,Male,False,2,2021,2021-02-01
CDI,437,A2.9-6394,Houphouet-Boigny,7,8,1960,1960-08-07,12,1993,1993-12-01,1905,Male,False,11,1960,1960-11-01
CDI,437,A2.9-6397,Konan Bedie,7,12,1993,1993-12-07,12,1999,1999-12-01,1934,Male,False,10,1995,1995-10-01
